@iter: 1, score: 20, epsilon: 0.99
@iter: 2, score: 17, epsilon: 0.98
@iter: 3, score: 17, epsilon: 0.97
@iter: 4, score: 18, epsilon: 0.96
@iter: 5, score: 24, epsilon: 0.95
@iter: 6, score: 17, epsilon: 0.94
@iter: 7, score: 19, epsilon: 0.93
@iter: 8, score: 9, epsilon: 0.92
@iter: 9, score: 21, epsilon: 0.91
@iter: 10, score: 19, epsilon: 0.90
@iter: 11, score: 22, epsilon: 0.90
@iter: 12, score: 30, epsilon: 0.89
@iter: 13, score: 10, epsilon: 0.88
@iter: 14, score: 20, epsilon: 0.87
@iter: 15, score: 18, epsilon: 0.86
@iter: 16, score: 45, epsilon: 0.85
@iter: 17, score: 34, epsilon: 0.84
@iter: 18, score: 20, epsilon: 0.83
@iter: 19, score: 13, epsilon: 0.83
@iter: 20, score: 49, epsilon: 0.82
@iter: 21, score: 43, epsilon: 0.81
@iter: 22, score: 33, epsilon: 0.80
@iter: 23, score: 13, epsilon: 0.79
@iter: 24, score: 15, epsilon: 0.79
@iter: 25, score: 10, epsilon: 0.78
@iter: 26, score: 24, epsilon: 0.77
@iter: 27, score: 46, epsilon: 0.76
@iter: 28, score: 13, epsilon: 0.75
@iter: 29, score: 11, epsilon: 0.75
@iter: 30, score: 30, epsilon: 0.74
@iter: 31, score: 36, epsilon: 0.73
@iter: 32, score: 31, epsilon: 0.72
@iter: 33, score: 98, epsilon: 0.72
@iter: 34, score: 41, epsilon: 0.71
@iter: 35, score: 18, epsilon: 0.70
@iter: 36, score: 13, epsilon: 0.70
@iter: 37, score: 40, epsilon: 0.69
@iter: 38, score: 19, epsilon: 0.68
@iter: 39, score: 19, epsilon: 0.68
@iter: 40, score: 15, epsilon: 0.67
@iter: 41, score: 17, epsilon: 0.66
@iter: 42, score: 21, epsilon: 0.66
@iter: 43, score: 30, epsilon: 0.65
@iter: 44, score: 16, epsilon: 0.64
@iter: 45, score: 58, epsilon: 0.64
@iter: 46, score: 85, epsilon: 0.63
@iter: 47, score: 86, epsilon: 0.62
@iter: 48, score: 137, epsilon: 0.62
@iter: 49, score: 12, epsilon: 0.61
@iter: 50, score: 21, epsilon: 0.61
@iter: 51, score: 11, epsilon: 0.60
@iter: 52, score: 93, epsilon: 0.59
@iter: 53, score: 10, epsilon: 0.59
@iter: 54, score: 21, epsilon: 0.58
@iter: 55, score: 8, epsilon: 0.58
@iter: 56, score: 9, epsilon: 0.57
@iter: 57, score: 14, epsilon: 0.56
@iter: 58, score: 12, epsilon: 0.56
@iter: 59, score: 12, epsilon: 0.55
@iter: 60, score: 7, epsilon: 0.55
@iter: 61, score: 15, epsilon: 0.54
@iter: 62, score: 18, epsilon: 0.54
@iter: 63, score: 9, epsilon: 0.53
@iter: 64, score: 10, epsilon: 0.53
@iter: 65, score: 13, epsilon: 0.52
@iter: 66, score: 14, epsilon: 0.52
@iter: 67, score: 9, epsilon: 0.51
@iter: 68, score: 13, epsilon: 0.50
@iter: 69, score: 10, epsilon: 0.50
@iter: 70, score: 18, epsilon: 0.49
@iter: 71, score: 15, epsilon: 0.49
@iter: 72, score: 11, epsilon: 0.48
@iter: 73, score: 15, epsilon: 0.48
@iter: 74, score: 10, epsilon: 0.48
@iter: 75, score: 16, epsilon: 0.47
@iter: 76, score: 10, epsilon: 0.47
@iter: 77, score: 14, epsilon: 0.46
@iter: 78, score: 7, epsilon: 0.46
@iter: 79, score: 13, epsilon: 0.45
@iter: 80, score: 8, epsilon: 0.45
@iter: 81, score: 9, epsilon: 0.44
@iter: 82, score: 9, epsilon: 0.44
@iter: 83, score: 8, epsilon: 0.43
@iter: 84, score: 12, epsilon: 0.43
@iter: 85, score: 13, epsilon: 0.43
@iter: 86, score: 10, epsilon: 0.42
@iter: 87, score: 39, epsilon: 0.42
@iter: 88, score: 15, epsilon: 0.41
@iter: 89, score: 15, epsilon: 0.41
@iter: 90, score: 12, epsilon: 0.40
@iter: 91, score: 12, epsilon: 0.40
@iter: 92, score: 18, epsilon: 0.40
@iter: 93, score: 13, epsilon: 0.39
@iter: 94, score: 10, epsilon: 0.39
@iter: 95, score: 24, epsilon: 0.38
@iter: 96, score: 53, epsilon: 0.38
@iter: 97, score: 36, epsilon: 0.38
@iter: 98, score: 82, epsilon: 0.37
@iter: 99, score: 129, epsilon: 0.37
@iter: 100, score: 73, epsilon: 0.37
@iter: 101, score: 55, epsilon: 0.36
@iter: 102, score: 47, epsilon: 0.36
@iter: 103, score: 23, epsilon: 0.36
@iter: 104, score: 53, epsilon: 0.35
@iter: 105, score: 87, epsilon: 0.35
@iter: 106, score: 38, epsilon: 0.34
